iter	Passed	Remaining
0	260	748954
1	611	877878
2	993	950394
3	1400	1004588
4	1735	995333
5	2096	1001970
6	2432	996074
7	2726	976472
8	3110	989785
9	3482	997176
10	3859	1004221
11	4283	1021227
12	4698	1033601
13	5031	1027576
14	5563	1060078
15	6031	1076981
16	6456	1084699
17	6854	1087274
18	7217	1084110
19	7549	1076921
20	7900	1072983
21	8216	1064797
22	8544	1058780
23	8832	1048475
24	9141	1041383
25	9457	1035594
26	9777	1030597
27	10083	1024587
28	10385	1018538
29	10707	1014752
30	11017	1010025
31	11361	1008648
32	11685	1005676
33	12008	1002681
34	12325	999426
35	12636	995821
36	12960	993400
37	13363	997004
38	13701	995648
39	14010	992260
40	14320	989157
41	14643	987048
42	14950	983963
43	15240	979919
44	15542	976768
45	15877	975762
46	16274	978526
47	16606	977366
48	16952	977001
49	17265	974821
50	17590	973321
51	17936	973072
52	18296	973496
53	18621	972131
54	18911	968966
55	19199	965807
56	19481	962458
57	19775	959790
58	20118	959570
59	20454	958973
60	20765	957268
61	21088	956123
62	21410	954982
63	21729	953727
64	22025	951516
65	22347	950441
66	22669	949425
67	22977	947824
68	23305	947076
69	23623	945951
70	23983	946495
71	24384	948635
72	24731	948593
73	25115	949968
74	25446	949311
75	25807	949781
76	26156	949782
77	26451	947862
78	26748	946013
79	27064	944893
80	27429	945464
81	27748	944456
82	28057	943153
83	28349	941287
84	28669	940370
85	28986	939355
86	29296	938158
87	29602	936841
88	29926	936124
89	30260	935728
90	30561	934315
91	30895	933911
92	31261	934490
93	31593	934021
94	31902	932889
95	32231	932358
96	32588	932628
97	32936	932630
98	33327	933854
99	33736	935510
100	34084	935465
101	34421	935108
102	34752	934614
103	35089	934269
104	35424	933844
105	35720	932445
106	36071	932455
107	36416	932326
108	36768	932376
109	37187	934078
110	37596	935505
111	38056	938157
112	38441	938921
113	38755	937946
114	39100	937726
115	39447	937559
116	39766	936726
117	40127	936873
118	40519	937742
119	40856	937312
120	41285	938994
121	41667	939572
122	42063	940434
123	42538	943051
124	42880	942684
125	43227	942432
126	43511	940801
127	43809	939511
128	44129	938682
129	44462	938161
130	44797	937659
131	45165	937859
132	45493	937240
133	45806	936300
134	46120	935382
135	46416	934136
136	46679	932229
137	46981	931110
138	47257	929502
139	47568	928604
140	47889	927893
141	48257	928113
142	48598	927783
143	48932	927336
144	49031	922472
145	49323	921274
146	49602	919840
147	49912	919002
148	50228	918265
149	50577	918144
150	50909	917721
151	51282	918021
152	51591	917186
153	51910	916519
154	52251	916250
155	52594	916015
156	52947	915965
157	53289	915699
158	53566	914339
159	53867	913394
160	54173	912545
161	54486	911804
162	54761	910445
163	55062	909533
164	55396	909176
165	55708	908445
166	55975	906999
167	56283	906226
168	56622	905952
169	56930	905196
170	57250	904619
171	57535	903504
172	57889	903472
173	58219	903065
174	58524	902282
175	58845	901747
176	59179	901393
177	59491	900723
178	59822	900339
179	60218	900928
180	60580	901009
181	60947	901154
182	61305	901153
183	61659	901093
184	61986	900642
185	62364	900928
186	62653	899939
187	62962	899227
188	63259	898346
189	63602	898138
190	63943	897885
191	64275	897520
192	64599	897030
193	64941	896794
194	65294	896717
195	65612	896144
196	65928	895557
197	66255	895123
198	66662	895751
199	67068	896366
200	67441	896530
201	67797	896467
202	68155	896423
203	68494	896134
204	68846	896011
205	69131	895012
206	69467	894684
207	69799	894307
208	70102	893551
209	70414	892929
210	70736	892422
211	71071	892079
212	71416	891872
213	71728	891248
214	72015	890310
215	72371	890237
216	72711	889963
217	73041	889562
218	73372	889181
219	73713	888915
220	74064	888771
221	74444	888980
222	74795	888827
223	75220	889551
224	75585	889557
225	75924	889251
226	76262	888946
227	76548	888030
228	76877	887613
229	77189	887009
230	77513	886542
231	77836	886063
232	78240	886505
233	78551	885881
234	78867	885331
235	79211	885087
236	79553	884820
237	79931	884951
238	80331	885323
239	80716	885521
240	81096	885665
241	81486	885908
242	81833	885691
243	82204	885721
244	82577	885770
245	82947	885780
246	83334	885973
247	83721	886160
248	84104	886302
249	84516	886744
250	84885	886735
251	85373	887957
252	85762	888130
253	86113	887915
254	86433	887383
255	86780	887126
256	87174	887346
257	87518	887060
258	87848	886627
259	88186	886270
260	88529	885976
261	88867	885624
262	89167	884896
263	89490	884394
264	89793	883707
265	90312	885130
266	90734	885597
267	91283	887289
268	91855	889191
269	92342	890249
270	92803	891051
271	93215	891376
272	93569	891139
273	93967	891320
274	94409	891908
275	94792	891940
276	95168	891904
277	95693	893255
278	96056	893087
279	96395	892695
280	96752	892460
281	97085	892019
282	97430	891681
283	97744	891062
284	98101	890830
285	98423	890288
286	98735	889648
287	99029	888858
288	99352	888328
289	99728	888271
290	100245	889463
291	100662	889763
292	100965	889050
293	101313	888737
294	101626	888113
295	101945	887542
296	102277	887096
297	102577	886368
298	102910	885921
299	103283	885826
300	103663	885792
301	104008	885452
302	104314	884781
303	104656	884416
304	104962	883746
305	105337	883660
306	105687	883364
307	105985	882638
308	106284	881916
309	106590	881265
310	106949	881040
311	107271	880519
312	107581	879902
313	107912	879452
314	108279	879299
315	108620	878928
316	108967	878611
317	109280	878025
318	109581	877335
319	109913	876905
320	110247	876485
321	110625	876417
322	111042	876654
323	111404	876451
324	111764	876231
325	112211	876693
326	112645	877047
327	113095	877523
328	113391	876805
329	113761	876651
330	114117	876391
331	114480	876187
332	114827	875864
333	115195	875691
334	115508	875106
335	115849	874732
336	116207	874489
337	116521	873909
338	116828	873287
339	117160	872849
340	117477	872293
341	117791	871729
342	118111	871198
343	118440	870742
344	118744	870106
345	119077	869680
346	119400	869180
347	119729	868729
348	120080	868434
349	120403	867938
350	120713	867346
351	121051	866965
352	121436	866911
353	121858	867119
354	122207	866814
355	122531	866327
356	122842	865746
357	123184	865388
358	123517	864964
359	123846	864520
360	124139	863819
361	124470	863387
362	124810	863016
363	125109	862360
364	125477	862187
365	125828	861891
366	126155	861434
367	126524	861263
368	126879	860993
369	127267	860947
370	127606	860567
371	127971	860370
372	128358	860310
373	128686	859861
374	129048	859634
375	129391	859286
376	129769	859165
377	130102	858748
378	130430	858294
379	130772	857938
380	131127	857662
381	131463	857268
382	131798	856862
383	132157	856613
384	132507	856305
385	132839	855888
386	133154	855354
387	133451	854710
388	133791	854336
389	134120	853898
390	134436	853377
391	134771	852980
392	135069	852347
393	135401	851926
394	135736	851532
395	136072	851138
396	136429	850881
397	136738	850319
398	137061	849849
399	137430	849665
400	137751	849181
401	138076	848724
402	138394	848224
403	138739	847888
404	139090	847592
405	139444	847312
406	139795	847015
407	140145	846711
408	140507	846480
409	140839	846065
410	141139	845460
411	141471	845053
412	141808	844672
413	142109	844075
414	142408	843469
415	142740	843059
416	143063	842599
417	143479	842683
418	143811	842277
419	144160	841964
420	144445	841282
421	144756	840756
422	145059	840181
423	145389	839759
424	145706	839267
425	146044	838896
426	146350	838342
427	146689	837983
428	147055	837770
429	147388	837372
430	147692	836809
431	147985	836184
432	148330	835857
433	148685	835584
434	148996	835066
435	149310	834563
436	149612	833998
437	149939	833566
438	150260	833104
439	150598	832740
440	150926	832322
441	151265	831960
442	151596	831556
443	151954	831299
444	152302	830987
445	152634	830590
446	152961	830169
447	153265	829619
448	153584	829151
449	153927	828811
450	154325	828770
451	154668	828433
452	154998	828026
453	155410	828057
454	155728	827584
455	156036	827060
456	156361	826631
457	156673	826128
458	156984	825622
459	157358	825447
460	157716	825189
461	158058	824844
462	158363	824313
463	158693	823909
464	159028	823530
465	159334	823000
466	159668	822615
467	160002	822236
468	160364	821998
469	160688	821561
470	161026	821199
471	161404	821044
